cu_id,tenure,cu_size,cu_type,rooms,baths,annual_expenses,inc_rank,race,educ,welfare,ssi,food_stamps,weight,hispanic,rooms_person,married_couple,single_dad,single_mom,college,received_food_stamps,received_welfare,received_ssi,ownes_with_mortgage,ownes_w_out_mortgage,rents,black,white,annual_exp_equiv
0529255,4,3,6,2,2,190582,0.9182551,3,16,0,0,0,13670.3,1,0.6666666666666666,0,1,0,1,0,0,0,0,0,1,0,0,110032.56900269726
0529255,4,3,6,2,2,190582,0.9134096,3,16,0,0,0,13670.3,1,0.6666666666666666,0,1,0,1,0,0,0,0,0,1,0,0,110032.56900269726
0529263,1,1,8,4,2,30542,0.5001844,1,12,0,0,0,42086.2325,0,4,0,0,0,0,0,0,0,1,0,0,0,1,30542
0529263,1,1,8,4,2,30542,0.4922343,1,12,0,0,0,42086.2325,0,4,0,0,0,0,0,0,0,1,0,0,0,1,30542
0529264,4,1,8,4,1,70638.26666666666,0.0290935,1,15,0,0,0,20918.524666666664,0,4,0,0,0,1,0,0,0,0,0,1,0,1,70638.26666666666
0529264,4,1,8,4,1,70638.26666666666,0.0142016,1,15,0,0,0,20918.524666666664,0,4,0,0,0,1,0,0,0,0,0,1,0,1,70638.26666666666
0529264,4,1,8,4,1,70638.26666666666,0.138819,1,15,0,0,0,20918.524666666664,0,4,0,0,0,1,0,0,0,0,0,1,0,1,70638.26666666666
0529267,2,1,8,7,2,32162.666666666664,0.3171351,1,15,0,0,0,28282.624666666667,0,7,0,0,0,1,0,0,0,0,1,0,0,1,32162.666666666664
0529267,2,1,8,7,2,32162.666666666664,0.312531,1,15,0,0,0,28282.624666666667,0,7,0,0,0,1,0,0,0,0,1,0,0,1,32162.666666666664
0529267,2,1,8,7,2,32162.666666666664,0.3181951,1,15,0,0,0,28282.624666666667,0,7,0,0,0,1,0,0,0,0,1,0,0,1,32162.666666666664
0529268,2,4,5,6,2,55336.900200000004,0.4289805,1,12,0,0,0,35393.945999999996,0,1.5,0,0,0,0,0,0,0,0,1,0,0,1,27668.450100000002
