cu_id,tenure,cu_size,cu_type,rooms,baths,annual_expenses,inc_rank,race,educ,welfare,ssi,food_stamps,weight,hispanic,rooms_person,married_couple,single_dad,single_mom,college,received_food_stamps,received_welfare,received_ssi,ownes_with_mortgage,ownes_w_out_mortgage,rents,black,white,annual_exp_equiv
0529141,1,8,3,15,4,127233.73346666666,0.7470217,1,15,0,0,0,11839.488666666666,0,1.875,0,0,0,1,0,0,0,1,0,0,0,1,44983.91786498088
0529142,2,2,1,5,2,41441.33333333333,0.4303823,1,12,0,0,0,29040.592333333334,0,2.5,1,0,0,0,0,0,0,0,1,0,0,1,29303.447821412105
0529142,2,2,1,5,2,41441.33333333333,0.4274361,1,12,0,0,0,29040.592333333334,0,2.5,1,0,0,0,0,0,0,0,1,0,0,1,29303.447821412105
0529142,2,2,1,5,2,41441.33333333333,0.481823,1,12,0,0,0,29040.592333333334,0,2.5,1,0,0,0,0,0,0,0,1,0,0,1,29303.447821412105
0529143,1,3,7,9,3,43661.06693333333,0.3288562,1,12,0,0,0,24246.560333333335,0,3,0,0,1,0,0,0,0,1,0,0,0,1,25207.728747066267
0529143,1,3,7,9,3,43661.06693333333,0.323267,1,12,0,0,0,24246.560333333335,0,3,0,0,1,0,0,0,0,1,0,0,0,1,25207.728747066267
0529143,1,3,7,9,3,43661.06693333333,0.5570377,1,12,0,0,0,24246.560333333335,0,3,0,0,1,0,0,0,0,1,0,0,0,1,25207.728747066267
0529146,4,1,8,3,1,12237.0004,0.3520627,1,12,0,0,0,25587.781,0,3,0,0,0,0,0,0,0,0,0,1,0,1,12237.0004
0529148,1,1,8,6,2,45608.00013333333,0.3858391,1,12,0,0,0,23733.869,0,6,0,0,0,0,0,0,0,1,0,0,0,1,45608.00013333333
0529148,1,1,8,6,2,45608.00013333333,0.3782827,1,12,0,0,0,23733.869,0,6,0,0,0,0,0,0,0,1,0,0,0,1,45608.00013333333
0529148,1,1,8,6,2,45608.00013333333,0.1814618,1,12,0,0,0,23733.869,0,6,0,0,0,0,0,0,0,1,0,0,0,1,45608.00013333333
0529149,1,7,3,11,2,220351.9428,0.9331505,1,13,0,0,0,22921.98,0,1.5714285714285714,0,0,0,0,0,0,0,1,0,0,0,1,83285.20593696137
0529150,4,1,8,4,1,12104,0.2352649,1,13,0,0,0,37754.326,0,4,0,0,0,0,0,0,0,0,0,1,0,1,12104
0529153,2,6,9,7,2,51949.666133333325,0.6138966,1,13,0,0,0,15935.991666666667,0,1.1666666666666667,0,0,0,0,0,0,0,0,1,0,0,1,21208.362389101774
0529153,2,6,9,7,2,51949.666133333325,0.6104867,1,13,0,0,0,15935.991666666667,0,1.1666666666666667,0,0,0,0,0,0,0,0,1,0,0,1,21208.362389101774
0529153,2,6,9,7,2,51949.666133333325,0.6959611,1,13,0,0,0,15935.991666666667,0,1.1666666666666667,0,0,0,0,0,0,0,0,1,0,0,1,21208.362389101774
0529154,1,4,3,8,2,107882.0876,0.9442841,1,12,0,0,0,22816.2095,1,2,0,0,0,0,0,0,0,1,0,0,0,1,53941.0438
0529154,1,4,3,8,2,107882.0876,0.8705973,1,12,0,0,0,22816.2095,1,2,0,0,0,0,0,0,0,1,0,0,0,1,53941.0438
0529158,4,1,8,5,1,58259.00013333333,0.6084312,1,15,0,0,0,37903.310666666664,0,5,0,0,0,1,0,0,0,0,0,1,0,1,58259.00013333333
0529158,4,1,8,5,1,58259.00013333333,0.606002,1,15,0,0,0,37903.310666666664,0,5,0,0,0,1,0,0,0,0,0,1,0,1,58259.00013333333
0529158,4,1,8,5,1,58259.00013333333,0.4094872,1,15,0,0,0,37903.310666666664,0,5,0,0,0,1,0,0,0,0,0,1,0,1,58259.00013333333
0529159,4,2,9,5,2,63832.9996,0.762339,1,13,0,0,0,32192.209,0,2.5,0,0,0,0,0,0,0,0,0,1,0,1,45136.74688063817
0529165,4,2,9,3,1,14296,0.2270794,1,12,0,0,3000,42601.778,0,1.5,0,0,0,0,1,0,0,0,0,1,0,1,10108.798543842882
0529166,4,4,3,6,2,46546.3332,0.3146375,1,10,0,0,3240,30790.177333333337,1,1.5,0,0,0,0,1,0,0,0,0,1,0,1,23273.1666
0529166,4,4,3,6,2,46546.3332,0.4977816,1,10,0,0,3240,30790.177333333337,1,1.5,0,0,0,0,1,0,0,0,0,1,0,1,23273.1666
0529166,4,4,3,6,2,46546.3332,0.4068927,1,10,0,0,720,30790.177333333337,1,1.5,0,0,0,0,1,0,0,0,0,1,0,1,23273.1666
0529167,2,3,2,4,1,107951.84786666665,0.9268706,1,15,0,0,0,10286.611666666668,0,1.3333333333333333,0,0,0,1,0,0,0,0,1,0,0,1,62326.02842533752
0529167,2,3,2,4,1,107951.84786666665,0.9227767,1,15,0,0,0,10286.611666666668,0,1.3333333333333333,0,0,0,1,0,0,0,0,1,0,0,1,62326.02842533752
0529167,2,3,2,4,1,107951.84786666665,0.5816156,1,15,0,0,0,10286.611666666668,0,1.3333333333333333,0,0,0,1,0,0,0,0,1,0,0,1,62326.02842533752
0529169,1,4,3,11,2,280158.3336,0.9428828,1,13,0,0,0,29356.585666666666,0,2.75,0,0,0,0,0,0,0,1,0,0,0,1,140079.1668
0529169,1,4,3,11,2,280158.3336,0.937731,1,13,0,0,0,29356.585666666666,0,2.75,0,0,0,0,0,0,0,1,0,0,0,1,140079.1668
0529169,1,4,3,11,2,280158.3336,0.9132959,1,13,0,0,0,29356.585666666666,0,2.75,0,0,0,0,0,0,0,1,0,0,0,1,140079.1668
0529171,4,3,9,4,2,66611.3332,0.5715489,1,12,0,0,0,28119.435666666664,0,1.3333333333333333,0,0,0,0,0,0,0,0,0,1,0,1,38458.07115409985
0529171,4,3,9,4,2,66611.3332,0.5684815,1,12,0,0,0,28119.435666666664,0,1.3333333333333333,0,0,0,0,0,0,0,0,0,1,0,1,38458.07115409985
0529171,4,3,9,4,2,66611.3332,0.6027463,1,12,0,0,0,28119.435666666664,0,1.3333333333333333,0,0,0,0,0,0,0,0,0,1,0,1,38458.07115409985
0529174,1,5,4,9,2,144332.0004,0.9574045,1,15,0,0,0,29225.0385,0,1.8,0,0,0,1,0,0,0,1,0,0,0,1,64547.232844585356
0529174,1,5,4,9,2,144332.0004,0.9542053,1,15,0,0,0,29225.0385,0,1.8,0,0,0,1,0,0,0,1,0,0,0,1,64547.232844585356
0529175,4,1,8,3,1,81998,0.6653679,1,16,0,0,0,23987.258,0,3,0,0,0,1,0,0,0,0,0,1,0,1,81998
0529175,4,1,8,3,1,81998,0.4197332,1,16,0,0,0,23987.258,0,3,0,0,0,1,0,0,0,0,0,1,0,1,81998
0529176,4,2,1,3,1,53702.466799999995,0.5373435,1,13,0,0,0,37635.08666666667,1,1.5,1,0,0,0,0,0,0,0,0,1,0,1,37973.37844072543
0529176,4,2,1,3,1,53702.466799999995,0.5322983,1,13,0,0,0,37635.08666666667,1,1.5,1,0,0,0,0,0,0,0,0,1,0,1,37973.37844072543
0529176,4,2,1,3,1,53702.466799999995,0.6630131,1,13,0,0,0,37635.08666666667,1,1.5,1,0,0,0,0,0,0,0,0,1,0,1,37973.37844072543
0529177,1,1,8,5,1,48780,0.1766531,1,15,0,0,0,16469.692,0,5,0,0,0,1,0,0,0,1,0,0,0,1,48780
0529177,1,1,8,5,1,48780,0.1835547,1,15,0,0,0,16469.692,0,5,0,0,0,1,0,0,0,1,0,0,0,1,48780
0529181,2,2,1,6,1,49050.666666666664,0.428697,1,12,0,0,0,25307.433666666668,0,3,1,0,0,0,0,0,0,0,1,0,0,1,34684.05902172095
0529181,2,2,1,6,1,49050.666666666664,0.4250167,1,12,0,0,0,25307.433666666668,0,3,1,0,0,0,0,0,0,0,1,0,0,1,34684.05902172095
0529181,2,2,1,6,1,49050.666666666664,0.4139099,1,12,0,0,0,25307.433666666668,0,3,1,0,0,0,0,0,0,0,1,0,0,1,34684.05902172095
0529182,1,2,1,5,2,37108,0.2640452,1,15,0,0,0,27746.756500000003,0,2.5,1,0,0,1,0,0,0,1,0,0,0,1,26239.318436270405
0529182,1,2,1,5,2,37108,0.340334,1,15,0,0,0,27746.756500000003,0,2.5,1,0,0,1,0,0,0,1,0,0,0,1,26239.318436270405
0529188,4,1,8,1,1,75173.27853333333,0.9725935,4,16,0,0,0,21135.941333333332,0,1,0,0,0,1,0,0,0,0,0,1,0,0,75173.27853333333
0529188,4,1,8,1,1,75173.27853333333,0.9750498,4,16,0,0,0,21135.941333333332,0,1,0,0,0,1,0,0,0,0,0,1,0,0,75173.27853333333
0529188,4,1,8,1,1,75173.27853333333,0.8906198,4,16,0,0,0,21135.941333333332,0,1,0,0,0,1,0,0,0,0,0,1,0,0,75173.27853333333
0529189,1,2,1,6,2,115377.14300000001,0.9774148,1,15,0,0,0,42926.2885,0,3,1,0,0,1,0,0,0,1,0,0,0,1,81583.96020923
0529189,1,2,1,6,2,115377.14300000001,0.9737961,1,15,0,0,0,42926.2885,0,3,1,0,0,1,0,0,0,1,0,0,0,1,81583.96020923
0529190,4,1,8,6,2,82124.6004,0.4845149,2,14,0,0,0,48381.659,0,6,0,0,0,0,0,0,0,0,0,1,1,0,82124.6004
0529191,1,3,4,8,1,92590.9332,0.7558612,1,12,0,0,0,34671.81766666667,0,2.6666666666666665,0,0,0,0,0,0,0,1,0,0,0,1,53457.40020753866
0529191,1,3,4,8,1,92590.9332,0.7517188,1,12,0,0,0,34671.81766666667,0,2.6666666666666665,0,0,0,0,0,0,0,1,0,0,0,1,53457.40020753866
0529191,1,3,4,8,1,92590.9332,0.833871,1,12,0,0,0,34671.81766666667,0,2.6666666666666665,0,0,0,0,0,0,0,1,0,0,0,1,53457.40020753866
0529192,1,2,1,7,2,73040.66626666667,0.8087837,1,16,0,0,0,30739.229333333333,0,3.5,1,0,0,1,0,0,0,1,0,0,0,1,51647.550419543506
